candidate_position,type_somatic,statiscal
136503391,indel,0.52033746
130874997,snv,0.5416458
10142129,indel,0.7750317
114709634,indel,0.8275241
116699580,snv,0.8222616
87961014,indel,0.9312813
28034218,snv,0.538855
179198997,indel,0.53068256
179199003,snv,0.51935565
112840243,snv,0.54767627
129211763,snv,0.5699517
37025814,snv,0.5775079
112840083,snv,0.5407839
116700197,snv,0.5088383
10149774,snv,0.6728111
28034134,snv,0.665174
121515246,snv,0.7818173
7676632,snv,0.49535027
7674948,indel,0.39076978
55191888,indel,0.92918396
121498497,indel,0.4652055
55087638,indel,0.99524385
55191893,snv,0.67066973
120994268,snv,0.7654033
28034227,snv,0.51338965
121515298,snv,0.5740175
104780166,indel,0.7488479
48465018,indel,0.5256378
48381421,snv,0.49214613
152328329,snv,0.51775295
23834164,snv,0.65615004
121498498,indel,0.63138723
211788014,indel,0.60792506
7675171,indel,0.73861766
55143371,indel,0.70779216
51049191,indel,0.65552425
1806168,snv,0.52458274
87957908,snv,0.6109839
130874947,snv,0.67413443
108302970,indel,0.55202794
211722511,indel,0.68728656
43120152,indel,0.4237441
1806136,indel,0.7471787
58909508,snv,0.5782556
25225656,snv,0.50528
55191826,snv,0.56665725
54278464,indel,0.71183765
121498540,indel,0.54716337
55096293,indel,0.6118249
87958089,snv,0.5277314
54695577,snv,0.5252422
55114143,snv,0.59942377
55191887,indel,0.9738695
55087635,indel,0.8753817
90088718,snv,0.5314258
51049328,indel,0.6842948
21971264,snv,0.56282836
108249104,indel,0.774684
55080103,snv,0.66498053
152326199,indel,0.4813043
29209729,indel,0.5450112
129211782,indel,0.49279326
58909347,snv,0.6715692
129206573,indel,0.50816983
55181434,snv,0.9428293
55143423,snv,0.417955
68801782,snv,0.6819042
87957953,snv,0.5477643
121515406,indel,0.5858558
7676611,snv,0.61493325
179209679,snv,0.5135831
58909434,snv,0.5226385
54277946,snv,0.5778528
179234285,snv,0.58073676
54727604,snv,0.61065173
37025820,snv,0.50464547
136503387,indel,0.65219235
108302951,indel,0.7960009
104780230,snv,0.50250876
152328280,snv,0.53584564
58909388,snv,0.7827284
108299811,snv,0.7676577
55094864,indel,0.5948128
21971216,indel,0.43158433
179234286,snv,0.5541418
55143368,indel,0.8013169
108267272,indel,0.66455424
136503397,snv,0.6536567
129206584,indel,0.9154474
87952097,snv,0.5862997
28028227,indel,0.42297083
108330221,snv,0.66139024
55143363,indel,0.54310185
121515249,snv,0.66287035
55089008,snv,0.5632836
54731346,indel,0.5305435
7676042,indel,0.6126838
1806167,snv,0.9157517
38428375,snv,0.5821451
55143367,indel,0.6492522
48463769,indel,0.67283446
87961075,indel,0.7736984
108252841,indel,0.5082872
136504979,indel,0.83996314
55143491,indel,0.7555825
108330215,snv,0.5117214
108335838,snv,0.52979624
90088672,snv,0.5124989
55191886,indel,0.7020327
152328348,snv,0.6122871
130875025,snv,0.653261
208248417,snv,0.7075384
7675065,snv,0.61842
28028231,snv,0.58373773
48379672,indel,0.63410634
108247101,snv,0.699542
17837264,indel,0.7079141
55087647,snv,0.5212537
108301794,snv,0.8455364
10146519,indel,0.58450586
48379740,indel,0.627437
28028294,snv,0.54297835
108252825,snv,0.5201283
108299781,snv,0.5691539
121515297,snv,0.56444275
68812139,indel,0.7070643
48459720,indel,0.9500277
43120132,snv,0.7043396
116699635,snv,0.56179875
28018475,indel,0.5563003
87961086,snv,0.5466481
55114135,snv,0.5747906
179198991,indel,0.5318561
87864468,snv,0.598401
25245330,snv,0.62598985
136503359,snv,0.5064866
38424649,snv,0.57471186
39724101,snv,0.6547476
58909356,snv,0.71439385
87961079,indel,0.74474275
130862935,snv,0.59781367
108335853,snv,0.5827694
116700185,indel,0.42979342
211722531,snv,0.6325435
152326198,indel,0.52968967
179230081,snv,0.576877
55191889,indel,0.84909564
129211763,snv,0.5699517
211712117,snv,0.7461167
28028229,snv,0.7417048
54278427,snv,0.65849334
116763181,snv,0.5052014
39891641,indel,0.8970894
1207091,snv,0.52881265
90088718,snv,0.5314258
1207159,snv,0.6487487
112838925,snv,0.53334206
43120212,snv,0.87381786
54277978,indel,0.5716304
39724133,indel,0.93374187
43120213,snv,0.8761445
140781731,snv,0.46296725
48463730,snv,0.7133723
1806166,snv,0.5589727
90088693,snv,0.62793064
1807197,snv,0.5939569
136503363,snv,0.5991014
116699628,indel,0.979626
211424215,indel,0.5161232
152326196,indel,0.57699746
129205335,snv,0.64281297
23834130,snv,0.68063486
121515297,snv,0.56444275
121520089,snv,0.5898976
